Rings,Length,Shell weight,Diameter,Height,Whole weight,Shucked weight,Viscera weight
11,0.67,0.4005,0.525,0.165,1.6085,0.682,0.3145
10,0.675,0.435,0.57,0.225,1.587,0.739,0.2995
12,0.675,0.553,0.565,0.195,1.8375,0.7645,0.3615
12,0.68,0.498,0.535,0.185,1.607,0.7245,0.3215
8,0.69,0.405,0.525,0.175,1.7005,0.8255,0.362
10,0.69,0.48,0.505,0.2,1.872,0.893,0.4015
10,0.695,0.503,0.535,0.175,1.8385,0.8035,0.396
12,0.705,0.4045,0.535,0.18,1.685,0.693,0.42
11,0.71,0.5475,0.565,0.205,2.198,1.012,0.5225
10,0.715,0.4135,0.565,0.175,1.9525,0.7645,0.4185
11,0.715,0.405,0.525,0.185,1.56,0.6655,0.383
11,0.735,0.6,0.6,0.22,2.555,1.1335,0.44
12,0.765,0.6205,0.6,0.22,2.302,1.007,0.509
4,0.185,0.0095,0.13,0.045,0.029,0.012,0.0075
3,0.195,0.011,0.15,0.045,0.0375,0.018,0.006
4,0.195,0.0095,0.135,0.04,0.0325,0.0135,0.005
4,0.2,0.007,0.155,0.04,0.0435,0.0155,0.009
4,0.225,0.015,0.165,0.055,0.059,0.027,0.0125
4,0.245,0.0215,0.18,0.065,0.071,0.03,0.013
5,0.25,0.0225,0.18,0.065,0.0685,0.0245,0.0155
7,0.265,0.025,0.195,0.055,0.084,0.0365,0.0175
6,0.275,0.028,0.195,0.065,0.106,0.054,0.02
5,0.28,0.034,0.21,0.085,0.1075,0.0415,0.024
5,0.285,0.03,0.22,0.065,0.096,0.0405,0.0205
6,0.3,0.039,0.22,0.08,0.1255,0.055,0.0265
6,0.315,0.039,0.235,0.055,0.151,0.065,0.027
6,0.32,0.0405,0.225,0.085,0.1415,0.0675,0.0295
5,0.34,0.055,0.265,0.08,0.2015,0.09,0.0475
6,0.37,0.0635,0.28,0.1,0.221,0.1165,0.0265
6,0.375,0.067,0.28,0.08,0.2345,0.1125,0.0455
6,0.375,0.065,0.275,0.1,0.2325,0.1165,0.042
7,0.385,0.065,0.29,0.08,0.2485,0.122,0.0495
6,0.4,0.087,0.32,0.095,0.348,0.194,0.053
7,0.405,0.093,0.3,0.11,0.32,0.172,0.044
7,0.41,0.0875,0.3,0.1,0.282,0.1255,0.057
6,0.41,0.106,0.325,0.1,0.3245,0.132,0.072
7,0.42,0.1035,0.3,0.105,0.316,0.1255,0.07
7,0.42,0.105,0.32,0.11,0.3625,0.174,0.0635
6,0.42,0.088,0.31,0.095,0.279,0.1255,0.051
7,0.425,0.1045,0.325,0.115,0.3685,0.162,0.0865
7,0.43,0.1035,0.335,0.12,0.397,0.1985,0.0865
6,0.435,0.096,0.33,0.11,0.413,0.2055,0.096
7,0.435,0.106,0.345,0.115,0.418,0.222,0.0735
7,0.44,0.12,0.33,0.11,0.3705,0.1545,0.084
7,0.445,0.117,0.345,0.105,0.409,0.1675,0.1015
7,0.445,0.13,0.34,0.145,0.434,0.1945,0.0905
8,0.445,0.109,0.335,0.11,0.411,0.1985,0.0935
8,0.45,0.1315,0.365,0.125,0.462,0.2135,0.0985
6,0.45,0.12,0.34,0.12,0.4925,0.241,0.1075
7,0.45,0.0975,0.33,0.105,0.3715,0.1865,0.0785
6,0.45,0.098,0.33,0.1,0.411,0.1945,0.1
6,0.45,0.102,0.33,0.11,0.3685,0.16,0.0885
7,0.46,0.1175,0.35,0.115,0.4155,0.18,0.098
7,0.47,0.129,0.36,0.105,0.544,0.27,0.1395
6,0.47,0.142,0.38,0.125,0.4845,0.211,0.1075
6,0.475,0.13,0.35,0.11,0.4565,0.206,0.099
7,0.475,0.115,0.35,0.1,0.4545,0.2165,0.111
8,0.48,0.1665,0.38,0.125,0.6245,0.3395,0.1085
7,0.49,0.141,0.465,0.125,0.5225,0.235,0.13
7,0.5,0.1585,0.375,0.14,0.5495,0.248,0.112
9,0.5,0.17,0.375,0.12,0.542,0.215,0.116
8,0.5,0.134,0.38,0.125,0.519,0.2485,0.1135
6,0.5,0.131,0.39,0.125,0.5215,0.2485,0.117
7,0.505,0.1405,0.39,0.125,0.5445,0.246,0.15
8,0.51,0.182,0.405,0.125,0.6795,0.3465,0.1395
6,0.51,0.1385,0.4,0.125,0.545,0.261,0.115
9,0.51,0.1525,0.4,0.125,0.5575,0.2615,0.1195
8,0.51,0.166,0.38,0.115,0.5155,0.215,0.1135
8,0.515,0.15,0.385,0.125,0.6115,0.3175,0.1265
9,0.52,0.185,0.4,0.145,0.7765,0.3525,0.1845
8,0.52,0.157,0.38,0.135,0.5395,0.2295,0.133
8,0.52,0.167,0.38,0.125,0.5545,0.288,0.1295
7,0.52,0.254,0.46,0.15,1.019,0.523,0.1985
8,0.525,0.17,0.4,0.13,0.6455,0.325,0.1245
9,0.525,0.1835,0.4,0.14,0.601,0.2625,0.1285
9,0.525,0.201,0.405,0.12,0.7555,0.3755,0.1555
8,0.525,0.1405,0.395,0.12,0.608,0.297,0.1395
8,0.53,0.19,0.4,0.125,0.617,0.279,0.127
9,0.535,0.169,0.39,0.125,0.599,0.2595,0.149
10,0.54,0.1895,0.42,0.14,0.6665,0.3125,0.138
7,0.545,0.156,0.39,0.135,0.7835,0.4225,0.1815
9,0.545,0.19,0.41,0.12,0.793,0.434,0.1405
9,0.545,0.218,0.415,0.14,0.82,0.4615,0.127
8,0.55,0.175,0.415,0.135,0.8145,0.427,0.1855
8,0.55,0.223,0.43,0.15,0.84,0.395,0.195
10,0.55,0.2165,0.425,0.15,0.8315,0.411,0.1765
9,0.56,0.234,0.43,0.145,0.8995,0.464,0.1775
8,0.56,0.2215,0.445,0.16,0.8965,0.42,0.2175
8,0.56,0.245,0.44,0.155,0.6405,0.336,0.1765
8,0.56,0.205,0.415,0.145,0.852,0.43,0.1885
9,0.565,0.23,0.455,0.15,0.9595,0.4565,0.2395
8,0.565,0.206,0.435,0.15,0.99,0.5795,0.1825
9,0.565,0.2645,0.45,0.175,1.0095,0.447,0.2375
9,0.57,0.25,0.46,0.15,1.0375,0.5415,0.2035
8,0.57,0.22,0.445,0.145,0.8775,0.412,0.217
8,0.57,0.224,0.44,0.15,0.755,0.3425,0.16
7,0.575,0.265,0.46,0.145,0.9945,0.466,0.229
10,0.575,0.2575,0.45,0.16,1.068,0.556,0.214
9,0.575,0.222,0.435,0.14,0.8455,0.401,0.191
9,0.575,0.238,0.47,0.165,0.869,0.435,0.197
9,0.575,0.26,0.455,0.135,0.907,0.4245,0.197
10,0.575,0.245,0.435,0.13,0.805,0.3155,0.2155
9,0.575,0.228,0.445,0.17,1.0225,0.549,0.2175
9,0.575,0.22,0.445,0.145,0.847,0.415,0.1945
8,0.58,0.265,0.455,0.15,1.114,0.4765,0.2155
9,0.58,0.441,0.455,0.195,1.859,0.945,0.426
9,0.58,0.22,0.445,0.135,0.814,0.3775,0.1915
9,0.58,0.253,0.45,0.14,0.9615,0.486,0.1815
8,0.58,0.2295,0.45,0.145,1.0025,0.547,0.1975
9,0.58,0.265,0.45,0.155,0.93,0.385,0.246
9,0.585,0.235,0.46,0.145,0.9335,0.478,0.1825
7,0.585,0.265,0.465,0.16,0.9555,0.4595,0.236
8,0.59,0.24,0.47,0.15,0.9955,0.481,0.232
9,0.6,0.2565,0.475,0.16,1.0265,0.485,0.2495
8,0.6,0.24,0.455,0.17,1.1915,0.696,0.2395
8,0.6,0.25,0.465,0.15,1.1025,0.5455,0.262
10,0.6,0.225,0.465,0.155,1.0165,0.512,0.2465
9,0.605,0.292,0.47,0.165,1.1775,0.611,0.2275
9,0.605,0.274,0.475,0.14,1.1175,0.555,0.257
10,0.605,0.317,0.48,0.17,1.1835,0.582,0.2365
9,0.605,0.357,0.475,0.165,1.056,0.433,0.2195
8,0.61,0.2415,0.485,0.16,1.0145,0.5315,0.212
9,0.61,0.2865,0.485,0.145,1.3305,0.783,0.2255
9,0.61,0.267,0.47,0.165,1.052,0.498,0.242
10,0.615,0.27,0.46,0.17,1.0565,0.4815,0.272
9,0.615,0.2415,0.465,0.15,0.923,0.4615,0.1825
9,0.615,0.285,0.475,0.155,1.027,0.447,0.25
8,0.62,0.2475,0.47,0.135,1.0195,0.5315,0.2005
8,0.62,0.2405,0.45,0.2,0.858,0.4285,0.1525
8,0.62,0.281,0.48,0.16,1.1125,0.5635,0.2445
9,0.625,0.332,0.485,0.175,1.3745,0.7335,0.2715
8,0.625,0.286,0.48,0.185,1.2065,0.587,0.29
8,0.63,0.287,0.47,0.155,1.1325,0.589,0.211
10,0.63,0.3425,0.5,0.175,1.2645,0.5635,0.3065
9,0.635,0.2885,0.495,0.015,1.1565,0.5115,0.308
10,0.64,0.358,0.515,0.165,1.369,0.632,0.3415
10,0.645,0.3735,0.53,0.195,1.39,0.6465,0.2945
10,0.645,0.305,0.48,0.17,1.1345,0.528,0.254
9,0.65,0.4245,0.5,0.19,1.464,0.6415,0.339
11,0.65,0.294,0.5,0.155,1.202,0.565,0.3135
11,0.655,0.345,0.515,0.16,1.31,0.553,0.369
10,0.655,0.364,0.51,0.175,1.415,0.5885,0.3725
11,0.66,0.476,0.53,0.185,1.346,0.546,0.2705
8,0.665,0.34,0.525,0.16,1.363,0.629,0.279
9,0.665,0.3595,0.5,0.17,1.2975,0.6035,0.291
9,0.67,0.353,0.505,0.205,1.3645,0.6075,0.3025
14,0.685,0.4735,0.54,0.215,1.7025,0.664,0.3655
10,0.685,0.4,0.52,0.165,1.519,0.699,0.3685
9,0.69,0.39,0.54,0.155,1.454,0.624,0.3105
12,0.69,0.3865,0.53,0.21,1.583,0.7355,0.405
9,0.69,0.3695,0.53,0.17,1.5535,0.7945,0.3485
10,0.695,0.4375,0.56,0.185,1.74,0.885,0.3715
9,0.7,0.446,0.565,0.18,1.751,0.895,0.3355
12,0.7,0.638,0.575,0.19,2.273,1.095,0.418
9,0.7,0.3995,0.525,0.19,1.6465,0.8545,0.307
9,0.705,0.301,0.55,0.17,1.219,0.6395,0.236
11,0.71,0.4525,0.56,0.18,1.652,0.735,0.381
12,0.715,0.5075,0.55,0.19,2.0045,1.0465,0.407
10,0.715,0.42,0.535,0.19,1.6755,0.889,0.313
10,0.72,0.5375,0.58,0.195,2.103,1.0265,0.48
10,0.72,0.5215,0.55,0.2,1.9965,0.9035,0.469
8,0.72,0.2685,0.565,0.145,1.187,0.691,0.1945
12,0.725,0.4505,0.505,0.185,1.978,1.026,0.4255
12,0.73,0.4825,0.575,0.185,1.8795,0.931,0.38
11,0.735,0.5,0.585,0.185,2.124,0.952,0.55
11,0.745,0.5,0.565,0.215,1.931,0.896,0.4585
11,0.75,0.545,0.57,0.21,2.236,1.109,0.5195
11,0.755,0.6785,0.625,0.21,2.505,1.1965,0.513
10,0.755,0.595,0.58,0.205,2.0065,0.8295,0.4015
11,0.78,0.586,0.63,0.215,2.657,1.488,0.4985
6,0.185,0.15,0.375,0.12,0.4645,0.196,0.1045
4,0.245,0.0215,0.205,0.06,0.0765,0.034,0.014
5,0.25,0.0225,0.185,0.065,0.0685,0.0295,0.014
5,0.25,0.025,0.19,0.065,0.0835,0.039,0.015
6,0.275,0.0355,0.195,0.09,0.1125,0.0545,0.0295
5,0.305,0.038,0.215,0.065,0.1075,0.044,0.0205
5,0.31,0.04,0.225,0.07,0.1055,0.435,0.015
5,0.315,0.0445,0.23,0.08,0.1375,0.0545,0.031
5,0.315,0.0385,0.23,0.07,0.1145,0.046,0.0235
6,0.325,0.09,0.225,0.075,0.139,0.0565,0.032
7,0.33,0.052,0.25,0.095,0.2085,0.102,0.0395
5,0.33,0.0435,0.205,0.095,0.1595,0.077,0.032
7,0.335,0.048,0.245,0.09,0.2015,0.096,0.0405
6,0.34,0.055,0.25,0.09,0.179,0.0775,0.033
6,0.345,0.055,0.255,0.095,0.1945,0.0925,0.037
5,0.345,0.05,0.255,0.085,0.2005,0.105,0.037
6,0.35,0.065,0.27,0.075,0.215,0.1,0.036
8,0.35,0.0525,0.255,0.09,0.1785,0.0855,0.0305
4,0.36,0.064,0.27,0.085,0.196,0.0875,0.035
6,0.365,0.058,0.27,0.085,0.1875,0.081,0.042
7,0.365,0.06,0.27,0.085,0.196,0.0825,0.0375
7,0.365,0.06,0.265,0.085,0.213,0.0945,0.049
7,0.37,0.075,0.29,0.09,0.2445,0.089,0.0655
6,0.37,0.062,0.28,0.085,0.217,0.1095,0.035
5,0.375,0.061,0.29,0.095,0.213,0.096,0.041
7,0.375,0.0695,0.29,0.085,0.2385,0.118,0.045
6,0.375,0.0755,0.275,0.09,0.218,0.093,0.0405
6,0.375,0.0775,0.275,0.095,0.2465,0.11,0.0415
8,0.375,0.065,0.28,0.08,0.2025,0.0825,0.048
7,0.375,0.07,0.27,0.085,0.218,0.0945,0.039
6,0.38,0.0755,0.275,0.11,0.256,0.11,0.0535
8,0.38,0.07,0.27,0.08,0.2105,0.0865,0.042
9,0.385,0.0745,0.29,0.09,0.2615,0.111,0.0595
8,0.385,0.067,0.28,0.085,0.2175,0.097,0.038
7,0.385,0.0735,0.3,0.095,0.302,0.152,0.0615
5,0.385,0.0655,0.28,0.09,0.228,0.1025,0.042
7,0.39,0.089,0.3,0.095,0.3265,0.1665,0.0575
8,0.395,0.0945,0.305,0.105,0.284,0.1135,0.0595
8,0.395,0.085,0.295,0.095,0.2725,0.115,0.0625
5,0.395,0.082,0.27,0.1,0.2985,0.1445,0.061
5,0.4,0.0765,0.29,0.1,0.2675,0.1205,0.0605
6,0.405,0.075,0.285,0.09,0.2645,0.1265,0.0505
7,0.41,0.17,0.335,0.11,0.33,0.157,0.0705
6,0.42,0.082,0.305,0.09,0.328,0.168,0.0615
7,0.425,0.1,0.325,0.11,0.3335,0.173,0.045
7,0.425,0.106,0.32,0.1,0.3055,0.126,0.06
7,0.425,0.08,0.31,0.09,0.301,0.1385,0.065
8,0.43,0.115,0.34,0,0.428,0.2065,0.086
8,0.43,0.1045,0.315,0.095,0.378,0.175,0.08
7,0.435,0.12,0.315,0.11,0.3685,0.1615,0.0715
9,0.44,0.12,0.34,0.12,0.438,0.2115,0.083
9,0.45,0.12,0.33,0.105,0.448,0.208,0.089
8,0.455,0.126,0.345,0.105,0.4005,0.164,0.0755
8,0.455,0.1245,0.365,0.115,0.4305,0.184,0.108
8,0.455,0.11,0.33,0.1,0.372,0.358,0.0775
7,0.46,0.11,0.36,0.105,0.466,0.2225,0.099
9,0.46,0.114,0.35,0.105,0.3705,0.1575,0.077
8,0.46,0.141,0.365,0.125,0.4785,0.206,0.1045
11,0.465,0.113,0.34,0.11,0.346,0.1425,0.073
8,0.47,0.135,0.365,0.1,0.411,0.175,0.0855
8,0.47,0.1505,0.355,0.18,0.48,0.2055,0.105
8,0.47,0.115,0.355,0.12,0.393,0.167,0.0885
8,0.475,0.14,0.355,0.1,0.5035,0.2535,0.091
8,0.475,0.1505,0.38,0.12,0.441,0.1785,0.0885
8,0.475,0.15,0.36,0.11,0.492,0.211,0.11
9,0.48,0.165,0.37,0.125,0.5435,0.244,0.101
8,0.48,0.132,0.355,0.115,0.4725,0.2065,0.112
8,0.48,0.135,0.365,0.1,0.461,0.2205,0.0835
8,0.495,0.1495,0.355,0.12,0.4965,0.214,0.1045
7,0.495,0.16,0.38,0.13,0.5125,0.2185,0.116
8,0.495,0.167,0.395,0.12,0.553,0.224,0.1375
9,0.5,0.1565,0.38,0.135,0.594,0.2945,0.104
9,0.5,0.2065,0.42,0.135,0.6765,0.302,0.1415
9,0.5,0.185,0.375,0.145,0.5795,0.239,0.1375
9,0.5,0.196,0.41,0.14,0.6615,0.2585,0.1625
7,0.5,0.157,0.375,0.125,0.5695,0.259,0.124
9,0.5,0.195,0.395,0.14,0.6215,0.2925,0.1205
8,0.505,0.18,0.405,0.13,0.6015,0.3015,0.11
7,0.505,0.18,0.38,0.12,0.594,0.2595,0.1435
8,0.505,0.171,0.395,0.105,0.551,0.248,0.103
7,0.515,0.16,0.38,0.12,0.625,0.3265,0.1295
13,0.515,0.205,0.42,0.135,0.711,0.337,0.144
9,0.515,0.175,0.4,0.135,0.6965,0.32,0.1255
10,0.52,0.18,0.4,0.13,0.5825,0.233,0.1365
9,0.52,0.1905,0.395,0.125,0.663,0.3005,0.131
9,0.525,0.164,0.4,0.125,0.6965,0.369,0.1385
9,0.525,0.2045,0.42,0.155,0.842,0.428,0.1415
9,0.53,0.167,0.415,0.13,0.694,0.3905,0.111
10,0.53,0.192,0.42,0.155,0.81,0.4725,0.111
9,0.53,0.189,0.415,0.11,0.5745,0.2525,0.1235
9,0.53,0.21,0.425,0.13,0.7675,0.419,0.1205
9,0.535,0.154,0.4,0.135,0.6025,0.2895,0.121
8,0.535,0.225,0.415,0.15,0.5765,0.3595,0.135
9,0.535,0.2075,0.41,0.13,0.7145,0.335,0.144
9,0.535,0.194,0.435,0.15,0.717,0.3475,0.1445
10,0.54,0.2175,0.42,0.145,0.8655,0.4315,0.163
9,0.54,0.229,0.42,0.14,0.7265,0.3205,0.1445
8,0.545,0.227,0.435,0.135,0.7715,0.372,0.148
9,0.545,0.207,0.445,0.15,0.8,0.3535,0.163
10,0.545,0.2545,0.43,0.15,0.7285,0.302,0.1315
8,0.545,0.185,0.405,0.135,0.5945,0.27,0.1185
11,0.55,0.223,0.43,0.145,0.7895,0.3745,0.171
9,0.55,0.2,0.405,0.125,0.651,0.2965,0.137
9,0.55,0.248,0.43,0.15,0.8745,0.413,0.1905
10,0.55,0.2325,0.435,0.14,0.7535,0.3285,0.1555
9,0.55,0.215,0.425,0.135,0.7305,0.3325,0.1545
9,0.555,0.255,0.44,0.14,0.8705,0.407,0.156
10,0.555,0.28,0.43,0.155,0.7395,0.3135,0.1435
9,0.555,0.23,0.43,0.14,0.7665,0.341,0.165
9,0.555,0.225,0.425,0.145,0.7905,0.3485,0.1765
9,0.56,0.236,0.425,0.135,0.8205,0.3715,0.185
9,0.56,0.2165,0.425,0.145,0.688,0.3095,0.1305
10,0.56,0.2695,0.445,0.155,1.224,0.5565,0.3225
9,0.56,0.235,0.455,0.145,0.974,0.547,0.1615
11,0.565,0.21,0.44,0.175,0.8735,0.414,0.21
8,0.565,0.225,0.45,0.145,0.8495,0.4215,0.1685
8,0.565,0.219,0.445,0.15,0.796,0.3635,0.184
11,0.565,0.1685,0.39,0.125,0.744,0.352,0.13
10,0.57,0.2215,0.45,0.145,0.751,0.2825,0.2195
8,0.57,0.245,0.45,0.135,0.794,0.3815,0.1415
9,0.57,0.2655,0.46,0.135,0.9795,0.397,0.2525
10,0.57,0.2705,0.435,0.17,0.873,0.382,0.183
10,0.57,0.202,0.44,0.13,0.7665,0.347,0.1785
9,0.57,0.275,0.435,0.125,0.8965,0.383,0.1835
10,0.575,0.2125,0.42,0.135,0.857,0.461,0.147
9,0.575,0.306,0.48,0.165,1.078,0.511,0.2095
10,0.575,0.22,0.46,0.155,0.892,0.4415,0.176
10,0.58,0.2955,0.46,0.155,1.4395,0.6715,0.273
10,0.58,0.204,0.455,0.135,0.7955,0.405,0.167
8,0.58,0.253,0.445,0.15,0.858,0.4,0.156
9,0.585,0.235,0.465,0.155,0.9145,0.4555,0.1965
10,0.585,0.335,0.49,0.185,1.171,0.522,0.2535
10,0.585,0.285,0.475,0.16,1.0505,0.48,0.234
10,0.585,0.274,0.46,0.165,1.1135,0.5825,0.2345
10,0.585,0.295,0.47,0.165,1.409,0.8,0.229
10,0.585,0.2885,0.475,0.15,1.065,0.5315,0.199
8,0.585,0.237,0.45,0.18,0.7995,0.336,0.1855
9,0.59,0.23,0.445,0.135,0.7715,0.328,0.1745
9,0.59,0.31,0.47,0.18,1.187,0.5985,0.227
10,0.59,0.275,0.455,0.155,0.8855,0.388,0.188
10,0.595,0.2255,0.465,0.15,0.98,0.4115,0.196
12,0.595,0.305,0.465,0.155,1.026,0.4645,0.112
10,0.6,0.309,0.475,0.17,1.1315,0.508,0.272
11,0.6,0.325,0.48,0.155,1.014,0.451,0.1885
10,0.6,0.27,0.475,0.15,1.12,0.565,0.2465
11,0.6,0.28,0.465,0.155,1.04,0.4755,0.25
10,0.6,0.269,0.455,0.145,0.8895,0.419,0.1715
11,0.6,0.295,0.46,0.155,0.9595,0.4455,0.189
11,0.605,0.33,0.485,0.15,1.238,0.6315,0.226
10,0.605,0.315,0.49,0.14,0.9755,0.419,0.206
11,0.605,0.26,0.435,0.13,0.9025,0.432,0.174
9,0.605,0.335,0.475,0.175,1.076,0.463,0.2195
12,0.605,0.275,0.47,0.16,1.0835,0.5405,0.2215
10,0.61,0.25,0.45,0.15,0.871,0.407,0.1835
12,0.61,0.305,0.48,0.165,1.244,0.6345,0.257
10,0.61,0.3035,0.475,0.17,1.0265,0.435,0.2335
9,0.61,0.286,0.465,0.15,0.9605,0.4495,0.1725
10,0.61,0.347,0.48,0.17,1.137,0.4565,0.29
10,0.61,0.275,0.46,0.16,1,0.494,0.197
10,0.615,0.2895,0.475,0.155,1.004,0.4475,0.193
10,0.615,0.34,0.47,0.165,1.128,0.4465,0.2195
10,0.615,0.295,0.5,0.17,1.054,0.4845,0.228
12,0.615,0.3035,0.475,0.165,1.023,0.4905,0.1955
10,0.615,0.3,0.475,0.17,1.129,0.4795,0.302
9,0.615,0.3,0.48,0.175,1.118,0.446,0.3195
10,0.615,0.355,0.475,0.155,1.115,0.484,0.2115
10,0.62,0.39,0.51,0.175,1.2815,0.5715,0.2385
12,0.62,0.355,0.495,0.18,1.2555,0.5765,0.254
10,0.62,0.354,0.5,0.15,1.293,0.596,0.3135
10,0.62,0.33,0.475,0.16,1.1295,0.463,0.2685
9,0.625,0.315,0.455,0.17,1.082,0.4955,0.2345
11,0.625,0.3045,0.505,0.175,1.15,0.5475,0.256
9,0.625,0.321,0.515,0.16,1.264,0.5715,0.326
12,0.625,0.3185,0.48,0.155,1.2035,0.5865,0.239
9,0.63,0.345,0.485,0.17,1.3205,0.5945,0.345
11,0.63,0.315,0.505,0.18,1.272,0.6025,0.295
12,0.63,0.3365,0.485,0.145,1.062,0.5065,0.1785
10,0.63,0.28,0.475,0.145,1.0605,0.5165,0.2195
12,0.63,0.315,0.495,0.16,1.093,0.497,0.221
10,0.635,0.3455,0.49,0.16,1.101,0.534,0.1865
9,0.635,0.39,0.5,0.165,1.4595,0.705,0.2645
9,0.635,0.323,0.495,0.175,1.211,0.707,0.2725
10,0.635,0.3665,0.475,0.17,1.1935,0.5205,0.2695
10,0.635,0.31,0.51,0.155,0.986,0.405,0.2255
15,0.64,0.406,0.565,0.23,1.521,0.644,0.372
10,0.64,0.4075,0.525,0.18,1.3135,0.4865,0.2995
11,0.645,0.345,0.51,0.16,1.1835,0.556,0.2385
10,0.645,0.3725,0.5,0.195,1.401,0.6165,0.3515
11,0.645,0.4325,0.525,0.16,1.5075,0.7455,0.245
11,0.65,0.349,0.505,0.165,1.16,0.4785,0.274
11,0.65,0.435,0.59,0.22,1.662,0.77,0.378
11,0.65,0.405,0.525,0.175,1.5365,0.6865,0.3585
9,0.65,0.375,0.51,0.19,1.542,0.7155,0.3735
10,0.65,0.391,0.51,0.17,1.567,0.7245,0.349
10,0.655,0.3985,0.525,0.19,1.3595,0.564,0.3215
13,0.655,0.46,0.535,0.205,1.6445,0.7305,0.3595
10,0.655,0.383,0.52,0.19,1.4545,0.6,0.3865
10,0.655,0.365,0.49,0.175,1.3585,0.6395,0.294
10,0.66,0.3925,0.495,0.21,1.548,0.724,0.3525
10,0.66,0.3575,0.515,0.17,1.337,0.615,0.3125
10,0.665,0.435,0.53,0.18,1.491,0.6345,0.342
11,0.67,0.3725,0.53,0.225,1.5615,0.63,0.487
10,0.67,0.3745,0.505,0.175,1.0145,0.4375,0.271
13,0.675,0.469,0.545,0.185,1.7375,0.876,0.3135
9,0.685,0.461,0.545,0.205,1.7925,0.8145,0.416
11,0.695,0.4975,0.565,0.19,1.7635,0.7465,0.399
12,0.7,0.195,0.545,0.13,1.556,0.6725,0.374
10,0.705,0.512,0.565,0.515,2.21,1.1075,0.4865
11,0.705,0.528,0.555,0.215,2.141,1.0465,0.383
12,0.705,0.43,0.57,0.18,1.5345,0.96,0.4195
11,0.71,0.45,0.55,0.17,1.614,0.743,0.345
13,0.72,0.51,0.575,0.17,1.9335,0.913,0.389
12,0.72,0.5365,0.575,0.215,2.173,0.9515,0.564
11,0.725,0.595,0.6,0.2,1.737,0.697,0.3585
11,0.73,0.52,0.58,0.19,1.7375,0.6785,0.4345
12,0.735,0.565,0.565,0.205,2.1275,0.949,0.46
9,0.745,0.558,0.57,0.215,2.25,1.1565,0.446
14,0.75,0.612,0.61,0.235,2.5085,1.232,0.519
14,0.815,0.7975,0.65,0.25,2.255,0.8905,0.42
3,0.14,0.004,0.105,0.035,0.014,0.0055,0.0025
4,0.23,0.036,0.165,0.06,0.0515,0.019,0.0145
7,0.365,0.0605,0.265,0.135,0.2215,0.105,0.047
5,0.365,0.053,0.255,0.08,0.1985,0.0785,0.0345
6,0.37,0.0615,0.27,0.095,0.232,0.1325,0.041
7,0.375,0.067,0.28,0.085,0.3155,0.187,0.046
5,0.385,0.0675,0.3,0.09,0.247,0.1225,0.044
5,0.395,0.0765,0.295,0.09,0.3025,0.143,0.0665
6,0.4,0.0825,0.29,0.11,0.329,0.188,0.0455
7,0.4,0.08,0.3,0.09,0.2815,0.1185,0.061
8,0.405,0.0855,0.31,0.095,0.3425,0.1785,0.064
7,0.405,0.0815,0.29,0.09,0.2825,0.112,0.075
6,0.405,0.0805,0.3,0.105,0.304,0.1455,0.061
5,0.41,0.073,0.32,0.095,0.2905,0.141,0.063
9,0.415,0.103,0.315,0.115,0.3895,0.2015,0.065
6,0.425,0.088,0.34,0.105,0.389,0.2015,0.0905
6,0.43,0.1075,0.34,0.105,0.4405,0.2385,0.0745
5,0.44,0.1015,0.34,0.105,0.369,0.164,0.08
8,0.44,0.1025,0.32,0.12,0.4565,0.2435,0.092
9,0.44,0.1135,0.365,0.11,0.4465,0.213,0.089
6,0.45,0.11,0.335,0.125,0.4475,0.2165,0.126
7,0.455,0.1065,0.335,0.135,0.501,0.274,0.0995
8,0.46,0.125,0.355,0.11,0.436,0.1975,0.096
9,0.47,0.116,0.345,0.14,0.4615,0.229,0.1105
6,0.47,0.1175,0.35,0.125,0.4315,0.19,0.1165
6,0.47,0.1365,0.355,0.12,0.3685,0.126,0.0835
8,0.475,0.142,0.37,0.125,0.649,0.347,0.136
7,0.475,0.1165,0.365,0.115,0.459,0.2175,0.093
7,0.475,0.1335,0.365,0.115,0.566,0.281,0.117
7,0.48,0.147,0.36,0.125,0.542,0.2795,0.1025
6,0.485,0.147,0.38,0.12,0.4725,0.2075,0.1075
8,0.485,0.198,0.39,0.085,0.6435,0.2945,0.103
6,0.485,0.1555,0.37,0.13,0.526,0.2485,0.105
7,0.495,0.144,0.38,0.12,0.573,0.2655,0.1285
9,0.505,0.1555,0.385,0.105,0.5525,0.239,0.1245
9,0.505,0.161,0.38,0.135,0.6855,0.361,0.1565
8,0.515,0.17,0.395,0.125,0.556,0.2695,0.096
8,0.515,0.2185,0.425,0.145,0.9365,0.497,0.181
7,0.515,0.17,0.4,0.125,0.5625,0.25,0.1245
8,0.52,0.149,0.4,0.125,0.559,0.254,0.139
8,0.525,0.1735,0.4,0.14,0.7205,0.3685,0.145
9,0.53,0.189,0.43,0.13,0.7045,0.346,0.1415
8,0.53,0.175,0.4,0.125,0.7575,0.398,0.151
9,0.545,0.203,0.41,0.14,0.7405,0.3565,0.1775
8,0.55,0.1945,0.43,0.14,0.84,0.375,0.218
9,0.55,0.215,0.425,0.16,0.793,0.343,0.2035
8,0.56,0.22,0.43,0.15,0.8745,0.453,0.161
9,0.56,0.1835,0.435,0.15,0.8715,0.4755,0.1835
8,0.57,0.249,0.445,0.15,0.9875,0.504,0.207
